bid_id,user_id,advertisement_id,bid_date,bid_price,bid_status
50,47,56,2023-04-06 17:09:05,331082510,Cancelled
51,81,55,2023-04-09 17:09:05,484115459,Cancelled
52,66,94,2023-04-08 17:09:05,315866213,Cancelled
53,31,3,2023-04-11 17:09:05,166005903,Cancelled
54,21,53,2023-04-12 17:09:05,37640631,Sent
55,97,80,2023-04-12 17:09:05,250437531,Sent
56,23,38,2023-04-06 17:09:05,135679479,Cancelled
57,10,16,2023-04-06 17:09:05,628090076,Cancelled
58,42,88,2023-04-12 17:09:05,439412295,Sent
59,13,19,2023-04-09 17:09:05,53218455,Sent
60,98,71,2023-04-09 17:09:05,206138475,Cancelled
61,94,19,2023-04-09 17:09:05,451639415,Cancelled
62,68,12,2023-04-10 17:09:05,128072808,Cancelled
63,99,51,2023-04-11 17:09:05,567174347,Cancelled
64,41,19,2023-04-06 17:09:05,505792178,Cancelled
65,61,40,2023-04-10 17:09:05,509134857,Cancelled
66,78,37,2023-04-11 17:09:05,402803679,Cancelled
67,89,68,2023-04-10 17:09:05,365527407,Sent
68,31,41,2023-04-12 17:09:05,275953398,Sent
69,37,49,2023-04-11 17:09:05,439112442,Cancelled
70,91,23,2023-04-11 17:09:05,283470067,Sent
71,77,46,2023-04-09 17:09:05,207362004,Cancelled
72,19,7,2023-04-12 17:09:05,272608100,Sent
73,78,1,2023-04-10 17:09:05,239606200,Cancelled
74,68,83,2023-04-11 17:09:05,666890465,Sent
75,32,79,2023-04-06 17:09:05,431947711,Sent
76,51,6,2023-04-10 17:09:05,177215529,Cancelled
77,20,26,2023-04-09 17:09:05,376294303,Cancelled
78,99,22,2023-04-07 17:09:05,268134880,Cancelled
79,85,57,2023-04-06 17:09:05,37364477,Sent
80,54,54,2023-04-09 17:09:05,204787198,Cancelled
81,84,79,2023-04-10 17:09:05,550423080,Sent
82,28,6,2023-04-12 17:09:05,266760658,Sent
83,69,48,2023-04-06 17:09:05,387524059,Cancelled
84,30,5,2023-04-07 17:09:05,620798904,Cancelled
85,1,74,2023-04-11 17:09:05,628306662,Sent
86,89,53,2023-04-06 17:09:05,232162487,Cancelled
87,79,79,2023-04-12 17:09:05,491158426,Cancelled
88,44,97,2023-04-10 17:09:05,175125398,Sent
89,8,25,2023-04-09 17:09:05,639738669,Sent
90,38,7,2023-04-11 17:09:05,679568668,Cancelled
91,21,7,2023-04-09 17:09:05,198551138,Cancelled
92,97,18,2023-04-07 17:09:05,158369771,Cancelled
93,36,18,2023-04-09 17:09:05,603972572,Sent
94,51,60,2023-04-12 17:09:05,201499451,Sent
95,56,38,2023-04-08 17:09:05,313624893,Cancelled
96,83,87,2023-04-06 17:09:05,360412477,Sent
97,36,19,2023-04-06 17:09:05,32771174,Cancelled
98,55,64,2023-04-08 17:09:05,680940318,Cancelled
99,40,76,2023-04-08 17:09:05,236307465,Sent
100,99,53,2023-04-10 17:09:05,521170011,Sent
101,42,82,2023-04-09 17:09:05,578089505,Sent
102,50,2,2023-04-10 17:09:05,476900310,Cancelled
103,9,33,2023-04-10 17:09:05,472693542,Sent
104,60,45,2023-04-07 17:09:05,160652792,Cancelled
105,33,53,2023-04-07 17:09:05,310999614,Sent
106,66,34,2023-04-07 17:09:05,117048947,Sent
107,32,74,2023-04-11 17:09:05,143194320,Sent
108,21,74,2023-04-09 17:09:05,653827350,Cancelled
109,25,60,2023-04-12 17:09:05,313407038,Cancelled
110,20,70,2023-04-07 17:09:05,242953351,Sent
111,78,41,2023-04-11 17:09:05,427503658,Cancelled
112,49,57,2023-04-10 17:09:05,521310076,Sent
113,72,48,2023-04-11 17:09:05,265534650,Cancelled
114,38,71,2023-04-06 17:09:05,337572892,Cancelled
115,24,88,2023-04-12 17:09:05,671529098,Cancelled
116,12,100,2023-04-09 17:09:05,215076578,Cancelled
117,33,25,2023-04-09 17:09:05,402483235,Cancelled
118,83,68,2023-04-06 17:09:05,403162983,Sent
119,79,16,2023-04-09 17:09:05,352180530,Cancelled
120,100,76,2023-04-06 17:09:05,576247471,Sent
121,15,73,2023-04-11 17:09:05,79460893,Sent
122,77,18,2023-04-09 17:09:05,57351923,Cancelled
123,6,14,2023-04-07 17:09:05,128103284,Sent
124,1,14,2023-04-10 17:09:05,450982414,Cancelled
125,1,65,2023-04-09 17:09:05,566844400,Sent
126,26,29,2023-04-07 17:09:05,542477751,Cancelled
127,98,91,2023-04-09 17:09:05,467920629,Cancelled
128,1,51,2023-04-10 17:09:05,478854443,Cancelled
129,29,50,2023-04-06 17:09:05,564488680,Cancelled
130,10,99,2023-04-07 17:09:05,432969088,Sent
131,74,93,2023-04-08 17:09:05,281432000,Cancelled
132,92,59,2023-04-06 17:09:05,476203804,Sent
133,66,17,2023-04-10 17:09:05,196174033,Sent
134,20,75,2023-04-12 17:09:05,112440676,Cancelled
135,62,45,2023-04-12 17:09:05,514186263,Sent
136,89,14,2023-04-06 17:09:05,252982144,Sent
137,28,36,2023-04-12 17:09:05,200106352,Sent
138,41,13,2023-04-07 17:09:05,658773099,Cancelled
139,35,14,2023-04-06 17:09:05,334487429,Sent
140,43,8,2023-04-10 17:09:05,538116262,Sent
141,38,49,2023-04-07 17:09:05,298723371,Sent
142,36,98,2023-04-11 17:09:05,224073876,Cancelled
143,50,92,2023-04-12 17:09:05,670043150,Sent
144,30,40,2023-04-09 17:09:05,372615721,Sent
145,10,75,2023-04-12 17:09:05,304193981,Cancelled
146,81,35,2023-04-09 17:09:05,574334456,Sent
147,22,83,2023-04-12 17:09:05,658676734,Cancelled
148,9,92,2023-04-09 17:09:05,649167803,Cancelled
149,33,96,2023-04-07 17:09:05,462777872,Sent
150,41,18,2023-04-08 17:09:05,179631133,Sent
